Membership No  Date Joined  Active  
    76158      2019-3-7     no    
    42480      2016-3-1     no    
    34229      2018-1-12    no    
    54783      2015-11-17   no    
    52493      2017-7-18    no    
    57391      2016-11-16   no    
    49287      2020-3-4     no    
    97639      2015-10-8    no    
    59013      2017-4-6     no    
    73876      2016-7-19    no    
    62215      2020-2-10    no    
    13017      2019-2-15    no    
    14834      2019-6-23    no    
    91586      2020-1-20    no    
    76555      2015-11-9    no    
    17883      2019-2-21    no    
